date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:24:19	5230/5230	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Dec%202020%2008:24:18%20GMT	https://www.online-swapper.tk/robots.txt		(from )
00:24:19	1300/1300	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2004:59:42%20GMT	https://www.online-swapper.tk/	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/index.html	(from )
00:24:19	2889/2889	---M--	200	added ('OK')	image/png	etag:%225fe02bbe-b49%22	https://www.online-swapper.tk/items/assets/images/g4-logo.png	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/items/assets/images/g4-logo.png	(from https://www.online-swapper.tk/)
00:24:19	1732/1732	---MCZ	200	added ('OK')	text/css	etag:W/%225fe02bbe-9e0%22	https://www.online-swapper.tk/items/assets/css/main.css	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/items/assets/css/main.css	(from https://www.online-swapper.tk/)
00:24:19	1300/1300	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2004:59:42%20GMT	https://www.online-swapper.tk/index.html	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/index-2.html	(from https://www.online-swapper.tk/)
00:24:19	2422/2422	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2004:59:42%20GMT	https://www.online-swapper.tk/skins.html	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/skins.html	(from https://www.online-swapper.tk/)
00:24:20	2116/2116	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2004:59:42%20GMT	https://www.online-swapper.tk/backpacks.html	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/backpacks.html	(from https://www.online-swapper.tk/)
00:24:20	1464/1464	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2004:59:42%20GMT	https://www.online-swapper.tk/pickaxes.html	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/pickaxes.html	(from https://www.online-swapper.tk/)
00:24:20	1848/1848	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2004:59:42%20GMT	https://www.online-swapper.tk/other.html	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/other.html	(from https://www.online-swapper.tk/)
00:24:21	161140/161140	---M--	200	added ('OK')	image/png	etag:%225fe02bbe-27574%22	https://www.online-swapper.tk/items/assets/images/fishstick.png	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/items/assets/images/fishstick.png	(from https://www.online-swapper.tk/)
00:24:21	219/219	---M--	200	added ('OK')	image/png	etag:%225fe02bbe-db%22	https://www.online-swapper.tk/items/assets/css/cursor.png	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/items/assets/css/cursor.png	(from https://www.online-swapper.tk/items/assets/css/main.css)
00:24:21	66465/66465	---M--	200	added ('OK')	image/png	etag:%225fe02bbe-103a1%22	https://www.online-swapper.tk/items/assets/images/renegade-raider.png	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/items/assets/images/renegade-raider.png	(from https://www.online-swapper.tk/skins.html)
00:24:21	9306/9306	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2004:59:42%20GMT	https://www.online-swapper.tk/items/BlazeToRenegadeRaider.html	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/items/BlazeToRenegadeRaider.html	(from https://www.online-swapper.tk/skins.html)
00:24:21	202362/202362	---M--	200	added ('OK')	image/png	etag:%225fe02bbe-3167a%22	https://www.online-swapper.tk/items/assets/images/default-jonesy.png	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/items/assets/images/default-jonesy.png	(from https://www.online-swapper.tk/skins.html)
00:24:22	9642/9642	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2004:59:42%20GMT	https://www.online-swapper.tk/items/DarkJonesyToDefaultJonesy.html	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/items/DarkJonesyToDefaultJonesy.html	(from https://www.online-swapper.tk/skins.html)
00:24:22	91328/91328	---M--	200	added ('OK')	image/png	etag:%225fe02bbe-164c0%22	https://www.online-swapper.tk/items/assets/images/love-ranger.png	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/items/assets/images/love-ranger.png	(from https://www.online-swapper.tk/skins.html)
00:24:22	9031/9031	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2004:59:42%20GMT	https://www.online-swapper.tk/items/FrozenLoveRangerToLoveRanger.html	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/items/FrozenLoveRangerToLoveRanger.html	(from https://www.online-swapper.tk/skins.html)
00:24:22	168118/168118	---M--	200	added ('OK')	image/png	etag:%225fe02bbe-290b6%22	https://www.online-swapper.tk/items/assets/images/elite-agent.png	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/items/assets/images/elite-agent.png	(from https://www.online-swapper.tk/skins.html)
00:24:22	9165/9165	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2004:59:42%20GMT	https://www.online-swapper.tk/items/WhiplashToEliteAgent.html	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/items/WhiplashToEliteAgent.html	(from https://www.online-swapper.tk/skins.html)
00:24:23	9103/9103	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2004:59:42%20GMT	https://www.online-swapper.tk/items/FrozenFishstickToFishstick.html	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/items/FrozenFishstickToFishstick.html	(from https://www.online-swapper.tk/skins.html)
00:24:23	8994/8994	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2004:59:42%20GMT	https://www.online-swapper.tk/items/RedShieldToBlackShield.html	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/items/RedShieldToBlackShield.html	(from https://www.online-swapper.tk/backpacks.html)
00:24:23	118366/118366	---M--	200	added ('OK')	image/png	etag:%225fe02bbe-1ce5e%22	https://www.online-swapper.tk/items/assets/images/black-shield.png	C:/My%20Web%20Sites/G4COPY/www.online-swapper.tk/items/assets/images/black-shield.png	(from https://www.online-swapper.tk/backpacks.html)
